计算机学报	粗糙集理论与应用研究综述	王国胤，姚一豫，于洪，WANG Guo-Yin，YAO Yi-Yu，YU Hong </LI	2009年7期	在阐释粗糙集理论基本体系结构的基础上,从多个角度探讨粗糙集模型的研究思路,分析粗糙集理论与模糊集、证据理论、粒计算、形式概念分析、知识空间等其它理论之间的联系,介绍国内外关于粗糙集理论研究的主要方向和发展状况...	粗糙集 模糊集 粒计算 形式概念分析 知识空间 智能信息处理	计算机学报
计算机学报	李群机器学习研究综述	李凡长，何书萍，钱旭培，LI Fan-Zhang，HE Shu-Ping，QIAN Xu-Pei </LI	2010年7期	文中简述了李群机器学习的相关研究内容,包括李群机器学习的概念、公理假设、代数学习模型、几何学习模型、Dynkin图的几何学习算法、量子群、辛群分类器的设计、轨道生成学习算法等.	李群机器学习 公理假设 李群 分类器	计算机学报
计算机学报	合取范式3可满足问题的局部搜索近似算法	朱大铭，马绍汉，张平平，ZHU Da-Ming，MA Shao-Han，ZHANG Ping-Ping </LI	2010年7期	合取范式最大可满足问题是理论计算机科学的核心问题.局部搜索被许多求解实践证明是解答合取范式最大可满足问题十分有效的方法,但未见关于局部搜索算法解答该问题性能分析的结果.文中讨论最大3可满足问题(Max-(3)-Sat)...	算法 复杂性 近似性能比 可满足性 局部搜索	计算机学报
计算机学报	带权无向图中反馈顶点集的固定参数枚举算法	王建新，江国红，陈建二，WANG Jian-Xin，JIANG Guo-Hong，CHEN Jian-Er </LI	2010年7期	反馈顶点集(FVS)问题是一个经典的NP-完全问题,在很多领域有重要的应用.人们对该问题进行了大量的研究,但目前还没有有效的算法枚举带权无向图的反馈顶点集.文中通过对带权无向图中反馈顶点集问题的结构的深入分析,给出...	反馈顶点集 无向图 带权 参数 固定参数枚举	计算机学报
计算机学报	Camellia访问驱动Cache计时攻击研究	赵新杰，王韬，郑媛媛，ZHAO Xin-Jie，WANG Tao，ZHENG Yuan-Yuan </LI	2010年7期	Camellia是NESSIE计划中128位分组密码的最终获胜者.现有的针对Camellia的Cache计时攻击大多基于时序驱动模型,需百万计的样本在几十分钟内完成.文中研究表明,由于频繁的查找表操作,Camellia对访问驱动Cache计时攻击也是...	Camellia-128/192/256 分组密码 访问驱动 Cache计时攻击 旁路攻击 远程攻击 F函数 查找S盒 左移函数 密钥扩展 已知密文	计算机学报
计算机学报	可信计算平台信任链安全性分析	徐明迪，张焕国，赵恒，李峻林，严飞，XU Ming-Di，ZHANG Huan-Guo，ZHAO Heng，LI Jun-Lin，YAN Fei </LI	2010年7期	可信计算规范是指导可信计算产品研制的依据,可信计算规范本身的安全性需要得到验证.信任链是可信计算平台中保障系统安全可靠的主要技术手段,它是可信计算平台整个系统安全的中心问题.针对可信计算平台信任链规范的信息...	信任链 安全进程代数 可复合的不可演绎模型	计算机学报
计算机学报	MDx差分攻击算法改进及GPGPU上的有效实现	周林，韩文报，祝卫华，王政，ZHOU Lin，HAN Wen-Bao，ZHU Wei-Hua，WANG Zheng </LI	2010年7期	Hash函数广泛应用于商业、安全等领域,其中MDx系列Hash算法应用最为广泛.因此对MDx系列Hash算法的攻击在理论上和实际应用上都有重要的意义.自王小云教授提出差分攻击算法并攻破MD5、MD4等MDx系列算法以来,对该算法的研究...	MD5 Hash函数 差分攻击 隧道技术 多消息修正方法 CUDA GPGPU Mersenne Twister	计算机学报
计算机学报	分工式门限认证加密方案	谭作文，范艳芳，TAN Zuo-Wen，FAN Yan-Fang </LI	2010年7期	(t,n)门限认证加密方案允许t个以上签名方产生指定接收方的认证加密签名,使得只有指定的接收方能够恢复消息和验证消息的完整性,而其他人却无法做到这一点.最近,在Tseng和Jan的认证加密方案的基础上,Chung等构造了一个(...	公钥密码学 门限签名 认证加密方案 随机预言机模型	计算机学报
计算机学报	PaSeM:并行无冲突的网络流量会话管理	张建宇，周渊，邹维，ZHANG Jian-Yu，ZHOU Yuan，ZOU Wei </LI	2010年7期	网络会话管理是网络流量监控、状态防火墙、入侵防御、网络地址转换、负载分流等网络在线业务的关键共性技术,对于准确、快速、灵活地跟踪、分析和处置网络流量中的协议交互过程、端对端行为和通信内容起着基础性支撑作用.近年来...	网络流量 会话管理 会话表 并行处理 并行冲突	计算机学报
计算机学报	基于输入端无冲突算法的面向输出排队的交换结构	夏羽，高志江，曾华燊，XIA Yu，GAO Zhi-Jiang，ZENG Hua-Xin </LI	2010年7期	该文提出了一种全新的面向输出排队的交换结构,该结构将信元存储于输入端,而信元的调度请求面向输出端排队.利用输入端无冲突调度算法,可以使结构对存储器带宽的需求和输入排队交换机一致.该文设计的调度矩阵使算法复杂...	交换机架构 吞吐率 稳定性 输入排队 面向输出排队	计算机学报
计算机学报	RulerRep:一种基于偏离度的过滤不实评价新方法	单明辉，贡佳炜，牛尔力，陈君，倪宏，SHAN Ming-Hui，GONG Jia-Wei，NIU Er-Li，CHEN Jun，NI Hong </LI	2010年7期	信誉系统在解决开放网络环境中的信任问题时,较传统技术具有明显优势.然而不实评价的存在严重降低了信誉系统的可用性.文中提出一种基于偏离度的不实评价过滤方法:RulerRep.该方法以用户自身与服务提供者的直接经验为标...	信誉 偏离度 过滤不实评价 信任 RulerRep	计算机学报
