note_id,content,create_time,create_date_time,liked_count,comments_count,shared_count,last_modify_ts,note_url,ip_location,user_id,nickname,gender,profile_url,avatar
5039415959489061,欢迎大家来大美新疆，给自己放个假，每个人心中都有一个小世界，但如果你和有趣的灵魂一起出来旅行，就会变得自由自在无拘无束！等到旅行结束，还是会回味无穷！新疆历史文化非常丰富，而其风景也是盛美，如果你有时间来新疆，你一定会被那里的美食，美景，人所吸引….#新疆旅游 #新农人计划 #我的阿勒 ...全文,1717002655,2024-05-29 17:10:55+08:00,677,65,7,1717588185291,https://m.weibo.cn/detail/5039415959489061,新疆,5261950007,新疆-优素福,m,https://m.weibo.cn/u/5261950007?,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.180/005K6Bzply8h5zjsvux9pj30u00u0juz.jpg?KID=imgbed,tva&Expires=1717598974&ssig=uROzMugrfY"
5035384161700302,#五哈5旅行路线征集# #519中国旅游日# 漫步在这座滇南小城里，能感受到悠长久远的历史文化气息，仿佛脚下的每一块青石板路都在诉说着一段故事，带着你穿越千年，回到了古临安城。在建水，你不仅可以品尝到当地独特的美食，也能够感受到民风民俗的淳朴之气，品尝一碗草芽米线，听一听建水小调，在悠扬欢 ...全文,1716041400,2024-05-18 14:10:00+08:00,620,125,145,1717588185293,https://m.weibo.cn/detail/5035384161700302,,2062595895,云南省文化和旅游厅,m,https://m.weibo.cn/u/2062595895?,"https://tvax2.sinaimg.cn/crop.0.0.1002.1002.180/7af0b737ly8h8w4umehoyj20ru0rut9t.jpg?KID=imgbed,tva&Expires=1717598974&ssig=ZWePpcxvi4"
5035313737237290,【#打卡传统文化地标#！看看这些你都去过吗？】河南的殷墟遗址、四川的三星堆博物馆、江西的景德镇陶阳里历史文化街区、天津的古文化街…这些地方，你都去过吗？党的二十大以来，习近平总书记考察过许多传统文化地标。今天，沿着总书记的足迹，一起打卡↓↓#中华文化学习笔记# ,1716024609,2024-05-18 09:30:09+08:00,1354,522,491,1717588185297,https://m.weibo.cn/detail/5035313737237290,,2803301701,人民日报,m,https://m.weibo.cn/u/2803301701?,"https://tvax4.sinaimg.cn/crop.0.0.1018.1018.180/0033ImPzly8h8vgemh8kxj60sa0sadgw02.jpg?KID=imgbed,tva&Expires=1717598974&ssig=R2O06GB1Eu"
5040082937973703,浙江温岭是一个山海间的旅游胜地，秀美的风光，深厚的历史文化，独特的民俗风情吸引了越来越多的游人选择到此观光、休闲、度假。 在长屿洞天，感受山与海造就的地质奇观； 在石塘半岛，住海景民宿，看一场海上日出； 在龙门沙滩，尽情享受游玩的欢乐； 在小箬岛，打卡网红七彩房子； 在方山，一睹雁荡 ...全文,1717161675,2024-05-31 13:21:15+08:00,113,154,3,1717588185298,https://m.weibo.cn/detail/5040082937973703,辽宁,2989040942,行影135,m,https://m.weibo.cn/u/2989040942?,"https://tva1.sinaimg.cn/crop.0.0.180.180.180/b229252ejw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1717598974&ssig=GhNcB2%2FNXi"
5041273893815873,刷肖战重庆行攻略的时候，很多人强调说不要去军哥书屋，当时还很费解，毕竟是哥哥亲自去 了还撸了小猫的地方 到了以后，我终于知道为什么了哈哈哈哈哈（外面涂鸦的姐妹big 胆） 王八圣地！！！！！ 很安静的一个地方，没想到是防空洞改装的，非常非常有历史文化气息，小猫也撸了但是不知道是不是同一只 ...全文,1717445621,2024-06-03 20:13:41+08:00,642,80,9,1717588185301,https://m.weibo.cn/detail/5041273893815873,重庆,5743255347,此生可免离别苦,f,https://m.weibo.cn/u/5743255347?,"https://tvax1.sinaimg.cn/crop.0.0.1002.1002.180/006gG74Lly8gpgwbawy3sj30ru0ru0uj.jpg?KID=imgbed,tva&Expires=1717598974&ssig=BgYJVb%2BNhH"
5040474884672795,大家知道伊利近是谁吗？ 就是火烧圆明园的祸首额尔金啊，他的家族几代为贼，侵略破坏掠夺他国的历史文化遗产，拆毁希腊帕特农神庙，用神庙雕像装饰自家私宅，这样的恶魔在香港竟有街区以他命名 ，并且在回归后长期未改。可见香港一地的精神殖民和奴性在某些地方某些殖人那里已经深入骨髓，需要彻底打碎 ...全文,1717255123,2024-06-01 15:18:43+08:00,828,39,244,1717588185304,https://m.weibo.cn/detail/5040474884672795,北京,1737683205,孔琳琳__人在北京,f,https://m.weibo.cn/u/1737683205?,"https://tvax4.sinaimg.cn/crop.1.0.1080.1080.180/6792f105ly8fxvkcij56jj20u20u041s.jpg?KID=imgbed,tva&Expires=1717598974&ssig=pCJeg%2FVCMo"
5036941341100698,历史的变迁…… 剑哥传奇的微博视频 ,1716412660,2024-05-22 21:17:40+08:00,170,4,61,1717588185306,https://m.weibo.cn/detail/5036941341100698,湖南,3486423715,剑哥传奇,m,https://m.weibo.cn/u/3486423715?,"https://tvax1.sinaimg.cn/crop.0.0.599.599.180/cfce9aa3ly8hn6wcd8vnvj20gn0gn74x.jpg?KID=imgbed,tva&Expires=1717598974&ssig=8Bp5vIWHJD"
5027701963884622,#杭州大兜路历史文化街区#  很早就听说过大兜路，也在网上看到过这条历史街区的图片，很想有机会去走走。        在杭州小住的那天去＂英蓝中心＂观看一个工艺展出来，用手机上的百度地图搜索周边大运河概况时，无意中发现正身处大兜路附近，那就走进这条老街看看。        大兜路历史文化街区，位于运 ...全文,1714209821,2024-04-27 09:23:41+08:00,41,38,3,1717588185309,https://m.weibo.cn/detail/5027701963884622,浙江,1274414715,fangyang,m,https://m.weibo.cn/u/1274414715?,"https://tvax2.sinaimg.cn/crop.0.0.996.996.180/4bf6067bly8grc04m3pvpj20ro0ro411.jpg?KID=imgbed,tva&Expires=1717598974&ssig=h9jarcrUoG"
5026920301593225,从地理上，西安真的是天赐国都！西安位于八百里秦川腹地，东有潼关，西有散关，北有萧关，南有武关，八水绕长安。   以西安为核心的关中盆地面积4万平方千米，中间是富饶的渭河平原，这里披山带河，四塞之固。   从地形上来看，可谓是天下形胜。这也是西安能够成为周、秦、汉、隋、唐等主要朝代建都首 ...全文,1714023458,2024-04-25 05:37:38+08:00,39,7,16,1717588185311,https://m.weibo.cn/detail/5026920301593225,江苏,2608830467,以图说史,m,https://m.weibo.cn/u/2608830467?,"https://tvax4.sinaimg.cn/crop.0.0.376.376.180/9b7f9803ly8hn3cnd913lj20ag0agt91.jpg?KID=imgbed,tva&Expires=1717598974&ssig=WdkLTsSdE2"
5028804735271379,#放假时总想去别的城市看看##微博旅行家##微博旅行生活记# 喜欢自由的人一般都呆不住，总想去别的城市看看，潮州是个不错的选择，不仅有悠久的历史文化，更是美食天堂，强推养生海鲜粥潮州·潮州古城 ,1714472741,2024-04-30 10:25:41+08:00,119,85,26,1717588185313,https://m.weibo.cn/detail/5028804735271379,湖南,1056763492,郭素兰呀,f,https://m.weibo.cn/u/1056763492?,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.180/3efcee64ly8gxsonovwgfj20u00u041w.jpg?KID=imgbed,tva&Expires=1717598974&ssig=QUhYgWceYJ"
